epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2594,1.81025,5.70349,1.78752,0.45693,0.14286,0.14581,0.10145,2.00229,4.63299,1.8182,1.764e-05,1.764e-05,1.764e-05
2,50.687,1.7307,4.91127,1.75672,0.19292,0.52381,0.31456,0.15491,1.6514,5.24412,1.49804,4.0345e-05,4.0345e-05,4.0345e-05
3,72.9078,1.42017,3.8102,1.5302,0.19175,0.38095,0.34691,0.17878,1.58068,11.4447,1.29748,6.21187e-05,6.21187e-05,6.21187e-05
4,94.1361,1.25406,3.04549,1.35948,0.21967,0.45238,0.44055,0.22251,1.65357,20.2673,1.24812,8.29609e-05,8.29609e-05,8.29609e-05
5,114.841,1.26926,2.73902,1.38063,0.37836,0.7381,0.62643,0.35349,1.66714,12.0031,1.23808,0.000102872,0.000102872,0.000102872
6,136.75,1.18911,2.58459,1.35462,0.47167,0.54762,0.69029,0.38517,1.62651,5.99055,1.27764,0.000121851,0.000121851,0.000121851
7,158.849,1.18921,2.16211,1.32598,0.5622,0.60902,0.62897,0.33448,1.48509,4.18319,1.29299,0.000139899,0.000139899,0.000139899
8,180.859,0.916,2.04731,1.23059,0.41153,0.70701,0.64538,0.38239,1.36011,3.24051,1.22184,0.000157016,0.000157016,0.000157016
9,201.055,1.06228,1.83945,1.23501,0.92083,0.48904,0.62566,0.42589,1.32776,2.53829,1.20774,0.000173201,0.000173201,0.000173201
10,221.274,1.10204,1.82196,1.26209,0.42988,0.95238,0.69568,0.44553,1.37908,2.54141,1.25207,0.000188455,0.000188455,0.000188455
11,246.175,0.98665,1.63381,1.19335,0.4542,0.95238,0.78668,0.49682,1.31951,2.50119,1.25082,0.000202778,0.000202778,0.000202778
12,266.801,1.02832,1.59199,1.21012,0.46971,0.9019,0.71561,0.48726,1.22505,2.21407,1.20895,0.000216169,0.000216169,0.000216169
13,286.093,0.98261,1.57673,1.18241,0.76759,0.7619,0.75755,0.53016,1.17497,1.95765,1.17375,0.000228629,0.000228629,0.000228629
14,305.342,0.94825,1.59723,1.24512,0.70438,0.7351,0.77396,0.54683,1.13803,1.82583,1.1632,0.000240157,0.000240157,0.000240157
15,325.147,0.95798,1.38745,1.13884,0.77161,0.80952,0.79098,0.50922,1.23668,2.08266,1.19138,0.000250754,0.000250754,0.000250754
16,344.304,0.90086,1.3834,1.15677,0.78042,0.80912,0.77725,0.49016,1.25926,2.03548,1.18805,0.000260419,0.000260419,0.000260419
17,363.938,0.87728,1.26478,1.12183,0.73562,0.80952,0.75737,0.45818,1.30959,2.01916,1.18864,0.000269153,0.000269153,0.000269153
18,383.286,0.88821,1.34406,1.17744,0.7422,0.80952,0.81759,0.50389,1.51259,1.78315,1.29186,0.000276956,0.000276956,0.000276956
19,402.659,0.92084,1.34863,1.14261,0.75273,0.80952,0.85893,0.52801,1.49275,1.85614,1.2885,0.000283828,0.000283828,0.000283828
20,422.297,0.77155,1.38162,1.1347,0.89304,0.66603,0.87561,0.55055,1.38526,1.7527,1.22342,0.000289768,0.000289768,0.000289768
21,444.77,0.81894,1.20279,1.10918,0.95678,0.6524,0.8925,0.55596,1.36873,1.36805,1.23328,0.000294776,0.000294776,0.000294776
22,465.897,0.82584,1.08282,1.13079,0.9083,0.6475,0.87786,0.59334,1.25937,1.37219,1.19299,0.000298853,0.000298853,0.000298853
23,488.226,0.8938,1.21503,1.1671,0.49675,0.92158,0.865,0.57643,1.29423,1.45039,1.23267,0.000301999,0.000301999,0.000301999
24,511.647,0.79584,1.1729,1.08862,0.73177,0.80952,0.83805,0.55973,1.32328,1.52129,1.31306,0.000304214,0.000304214,0.000304214
25,534.05,0.81982,1.10902,1.0768,0.61815,0.95238,0.92518,0.56865,1.40507,1.44069,1.35852,0.000305497,0.000305497,0.000305497
26,554.224,0.919,1.1655,1.16241,0.64942,0.95238,0.87807,0.51716,1.48533,1.58291,1.47201,0.00029694,0.00029694,0.00029694
27,575.154,0.69615,1.00041,1.04463,0.59899,0.95238,0.87662,0.5415,1.43446,1.63857,1.47212,0.000285298,0.000285298,0.000285298
28,597.594,0.77049,1.03542,1.06948,0.80982,0.80952,0.88778,0.57203,1.40327,1.56531,1.41131,0.000273655,0.000273655,0.000273655
29,619.077,0.73155,1.00436,1.07206,0.64084,0.95238,0.94314,0.63212,1.35466,1.37859,1.374,0.000262013,0.000262013,0.000262013
30,642.481,0.83129,0.95452,1.08274,0.64062,0.90476,0.93136,0.56434,1.32701,1.33024,1.37121,0.00025037,0.00025037,0.00025037
31,665.273,0.84647,0.90842,1.08379,0.64713,0.952,0.95493,0.62532,1.23291,1.2964,1.31371,0.000238728,0.000238728,0.000238728
32,687.873,0.76725,0.93061,1.09499,0.59356,0.95238,0.95459,0.6846,1.17231,1.17885,1.26419,0.000227086,0.000227086,0.000227086
33,709.255,0.78336,0.9822,1.09204,0.60691,0.95238,0.95401,0.65598,1.23106,1.19602,1.25342,0.000215443,0.000215443,0.000215443
34,729.157,0.73319,0.87442,1.06646,0.59626,0.95238,0.95004,0.62693,1.29785,1.15849,1.26631,0.000203801,0.000203801,0.000203801
35,749.062,0.81777,0.87926,1.0739,0.58397,0.95238,0.95004,0.61803,1.31945,1.16028,1.28355,0.000192158,0.000192158,0.000192158
36,769.718,0.6905,0.88128,1.05368,0.60711,0.95238,0.95039,0.63467,1.26239,1.10671,1.30673,0.000180516,0.000180516,0.000180516
37,790.67,0.69685,0.78619,1.03203,0.67772,0.95238,0.95015,0.65127,1.22095,1.06151,1.34828,0.000168874,0.000168874,0.000168874
38,812.508,0.71854,0.85846,1.08365,0.70949,0.95238,0.94995,0.62786,1.21863,1.04234,1.36385,0.000157231,0.000157231,0.000157231
